cogs_pct_growth,revenue_growth,gross_profit_growth,gross_profit_pct_growth,ebitda_growth,ebitda_pct_growth,ebit_growth,ebit_pct_growth,pre_tax_income_growth,pre_tax_income_pct_growth,net_income_growth,net_income_pct_growth,dividends_per_share,shares_outstanding_basic,total_assets,total_liabilities,shareholders_equity,retained_earnings,tangible_shareholders_equity,total_assets_growth,total_liabilities_growth,shareholders_equity_growth,retained_earnings_growth,tangible_shareholders_equity_growth,cash_from_operations,cash_from_investing,cash_from_financing,free_cashflow,free_cashflow_per_share_diluted,cash_from_operations_growth,cash_from_investing_growth,cash_from_financing_growth,free_cashflow_growth,free_cashflow_per_share_diluted_growth,roe,roe_growth,roic,roic_growth,roce,roce_growth,debt_to_equity,debt_to_equity_growth,leverage,leverage_growth,current_ratio,current_ratio_growth,acid_test,acid_test_growth,days_in_inventory,days_in_inventory_growth,inventory_turns,inventory_turns_growth,days_sales_outstanding,days_sales_outstanding_growth,days_payable_outstanding,days_payable_outstanding_growth,ppe_turnover,ppe_turnover_growth,total_asset_turnover,total_asset_turnover_growth,score
-3.74,8.4,14.87,5.97,18.8,9.55,16.2,6.92,-9.28,-16.32,-12.86,-19.63,1.11,73500000.0,429400000.0,69400000.0,360000000.0,41000000.0,358800000.0,-8.66,-19.95,-6.1,-47.7,-5.85,36200000.0,21700000.0,-74100000.0,9700000.0,0.13,-63.14,66.92,20.29,-87.81,-88.18,0.13,-7.14,0.25,25.0,0.24,26.32,0.19,-17.39,0.03,0.0,4.8,-1.23,4.72,-1.46,5.85,1.92,62.39,-1.89,41.66,-2.05,21.42,-20.28,5.7,-8.65,1.23,19.42,0.01
-9.1,-9.7,2.14,13.24,-11.0,-1.03,-14.1,-4.71,14.41,26.78,10.79,23.26,1.12,73800000.0,440600000.0,92100000.0,348500000.0,7900000.0,348500000.0,2.61,32.71,-3.19,-80.73,-2.87,116400000.0,-6400000.0,-79800000.0,110900000.0,1.49,221.55,-129.49,7.69,1043.3,1046.15,0.14,7.69,0.22,-12.0,0.21,-12.5,0.26,36.84,0.05,66.67,4.09,-14.79,4.06,-13.98,3.14,-46.32,116.24,86.31,48.16,15.6,30.39,41.88,5.63,-1.23,1.08,-12.2,-0.15
6.67,0.5,-7.25,-7.79,2.6,2.07,6.6,6.17,3.15,2.57,6.36,5.66,1.12,74600000.0,415700000.0,99000000.0,316700000.0,-23700000.0,316700000.0,-5.65,7.49,-9.12,-400.0,-9.12,39800000.0,-40400000.0,-79400000.0,27500000.0,0.37,-65.81,531.25,-0.5,-75.2,-75.17,0.17,21.43,0.26,18.18,0.24,14.29,0.31,19.23,0.06,20.0,3.58,-12.47,3.55,-12.56,2.79,-11.15,130.82,12.54,39.81,-17.34,24.48,-19.45,5.9,4.8,1.15,6.48,0.12
13.44,1.3,-17.06,-18.08,-44.7,-45.69,-55.0,-55.81,-54.95,-55.48,-53.64,-54.46,0.64,74200000.0,378600000.0,83500000.0,295100000.0,-47300000.0,295100000.0,-8.92,-15.66,-6.82,99.58,-6.82,63200000.0,-30700000.0,-49800000.0,35200000.0,0.47,58.79,-24.01,-37.28,28.0,27.03,0.08,-52.94,0.13,-50.0,0.12,-50.0,0.28,-9.68,0.04,-33.33,3.46,-3.35,3.43,-3.38,1.97,-29.39,185.28,41.63,42.77,7.44,9.15,-62.62,5.01,-15.08,1.28,11.3,0.14
-58.01,13.4,1852.16,1600.0,25.0,10.53,47.1,30.1,-722.22,-650.0,-301.04,-275.0,0.72,108600000.0,5213000000.0,2361800000.0,2851200000.0,-60600000.0,1391900000.0,7.92,5.37,10.14,-23.19,15.3,176800000.0,-183100000.0,78300000.0,52000000.0,0.47,-31.29,92.94,-157.96,-79.79,-80.42,0.03,-250.0,0.06,50.0,0.05,25.0,0.83,-4.6,0.4,-4.76,1.81,4.02,1.77,3.51,4.51,159.2,80.93,-61.42,6.11,18.18,24.46,106.41,-8.69,-68.27,0.38,5.56,0.17
29.65,8.3,-13.56,-20.34,6.9,-1.43,13.0,4.48,42.51,31.48,50.46,38.78,0.76,111600000.0,3421500000.0,2388300000.0,1033200000.0,400000.0,-419000000.0,-34.37,1.12,-63.76,-100.66,-130.1,264800000.0,-136100000.0,-106700000.0,108600000.0,0.97,49.77,-25.67,-236.27,108.85,106.38,0.14,366.67,0.11,83.33,0.09,80.0,2.31,178.31,0.62,55.0,2.12,17.13,2.08,17.51,3.79,-15.96,96.31,19.0,8.63,41.24,20.79,-15.0,1.76,-120.25,0.63,65.79,0.2
-0.93,6.5,7.56,1.05,9.5,2.9,10.3,3.57,-0.92,-6.91,-10.61,-16.18,0.85,112700000.0,3522400000.0,2498800000.0,1023600000.0,34400000.0,-463900000.0,2.95,4.63,-0.93,8500.0,10.72,391200000.0,-247100000.0,-78400000.0,206400000.0,1.82,47.73,81.56,-26.52,90.06,87.63,0.13,-7.14,0.12,9.09,0.1,11.11,2.44,5.63,0.62,0.0,2.06,-2.83,2.02,-2.88,3.47,-8.44,105.19,9.22,8.77,1.62,20.26,-2.55,1.84,4.55,0.65,3.17,0.2
-2.94,8.5,11.96,3.34,15.5,6.1,24.8,15.17,44.36,33.04,29.33,19.3,0.85,113200000.0,3863200000.0,2768200000.0,1095000000.0,106100000.0,-386600000.0,9.68,10.78,6.98,208.43,-16.66,395200000.0,-234300000.0,63400000.0,174500000.0,1.53,1.02,-5.18,-180.87,-15.46,-15.93,0.15,15.38,0.14,16.67,0.12,20.0,2.53,3.69,0.63,1.61,2.5,21.36,2.46,21.78,3.68,6.05,99.18,-5.71,8.43,-3.88,20.67,2.02,1.9,3.26,0.64,-1.54,0.19
-0.71,2.6,4.78,2.07,8.2,5.35,26.0,23.68,103.33,97.93,90.48,78.57,3.0,23400000.0,404800000.0,460300000.0,-55500000.0,-40400000.0,-88300000.0,-9.94,2.47,-13975.0,-312.63,172.53,60100000.0,-22500000.0,-47700000.0,37600000.0,1.56,-19.76,-27.18,35.13,-14.55,-17.02,-0.22,-101.4,0.15,36.36,0.14,40.0,-8.29,-100.74,0.92,19.48,0.87,6.1,0.86,4.88,0.4,29.03,912.5,-22.5,4.95,7.38,7.59,-20.02,1.86,14.11,1.18,13.46,-0.06
-1.81,9.0,12.34,3.01,13.0,3.7,14.9,5.43,-2.05,-10.18,-2.69,-10.83,0.17,32500000.0,173000000.0,95800000.0,77300000.0,73700000.0,77300000.0,12.7,59.14,-17.15,32.79,-17.15,26800000.0,-22100000.0,-4700000.0,4700000.0,0.14,-9.15,-445.31,-86.01,-80.42,-78.79,0.33,17.86,0.34,0.0,0.32,0.0,1.24,90.77,0.39,95.0,1.42,8.4,1.36,9.68,4.46,-16.01,81.84,19.06,6.64,3.91,20.33,59.58,1.78,-5.82,1.37,-2.84,0.05
-1.64,2.5,5.27,2.92,3.2,0.89,2.1,-0.52,2.79,0.28,3.16,0.93,0.19,32600000.0,225200000.0,135600000.0,89600000.0,86600000.0,89600000.0,30.17,41.54,15.91,17.5,15.91,36400000.0,-52100000.0,18200000.0,-15700000.0,-0.48,35.82,135.75,-487.23,-434.04,-442.86,0.29,-12.12,0.26,-23.53,0.25,-21.87,1.51,21.77,0.44,12.82,1.2,-15.49,1.14,-16.18,4.67,4.71,78.16,-4.5,6.93,4.37,32.96,62.12,1.33,-25.28,1.08,-21.17,0.04
